﻿Title:,"Table 1 - HE student enrolments by HE provider"
Subtitle:,"Academic years 2014/15 to 2018/19"
Reference ID:,DT051 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2020
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,First year marker,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2015/16 
Search:,


"UKPRN","HE provider","England","Scotland","Wales","Northern Ireland","Other UK","Total UK  ","Other European Union","Non-European Union","Total Non-UK","Not known","Total"
"10007773","The Open University","101,230","14,675","6,735","3,740","5","126,390","185","50","230","0","126,620"
"10004930","Oxford Brookes University","14,090","75","360","55","45","14,625","990","2,250","3,240","0","17,865"
"10007774","The University of Oxford","15,840","390","395","140","40","16,800","2,675","5,380","8,055","0","24,860"
"10005127","Plymouth College of Art","1,125","0","20","15","5","1,160","30","10","40","0","1,200"
"10007801","University of Plymouth","20,105","45","585","90","60","20,885","710","1,560","2,270","0","23,155"
"10007155","The University of Portsmouth","17,675","70","390","50","65","18,255","990","2,815","3,805","0","22,060"
"10005337","Queen Margaret University, Edinburgh","530","3,455","30","175","10","4,205","755","325","1,080","0","5,285"
"10007775","Queen Mary University of London","11,205","80","185","75","25","11,570","1,740","3,830","5,565","0","17,140"
"10005389","Ravensbourne University London","1,955","10","15","20","5","2,005","90","95","185","0","2,190"
"10007802","The University of Reading","10,355","35","485","60","60","10,995","920","3,065","3,985","0","14,980"
"10005500","The Robert Gordon University","850","9,285","35","90","10","10,270","1,135","1,350","2,485","0","12,755"
"10007776","Roehampton University","7,935","20","60","20","5","8,040","335","640","975","0","9,020"
"10005523","Rose Bruford College of Theatre and Performance","615","10","20","5","0","645","40","70","110","0","760"
"10007835","Royal Academy of Music","365","15","25","5","5","420","155","180","340","0","760"
"10005545","Royal Agricultural University","980","30","40","0","5","1,055","45","95","145","0","1,200"
"10007777","Royal College of Art","665","20","10","0","0","695","405","505","910","0","1,610"
"10007778","Royal College of Music","375","25","25","0","0","425","165","220","385","0","810"
"10005561","Royal Conservatoire of Scotland","200","565","5","20","0","790","130","160","290","0","1,080"
"10007816","The Royal Central School of Speech and Drama","765","20","20","10","0","815","80","150","230","0","1,045"
"10005553","Royal Holloway and Bedford New College","6,805","35","145","15","20","7,020","835","2,130","2,965","0","9,985"
"10007837","Royal Northern College of Music","520","40","40","15","15","630","90","185","275","0","905"
"10007779","The Royal Veterinary College","1,865","40","55","30","0","1,990","65","235","300","0","2,290"
"10007803","The University of St Andrews","2,550","2,835","80","195","20","5,675","1,470","3,595","5,070","0","10,745"
"10007782","St George's, University of London","5,380","10","55","30","10","5,490","115","320","435","0","5,925"
"10008026","St Mary's University College","0","0","0","1,020","0","1,020","20","0","20","0","1,040"
"10007843","St Mary's University, Twickenham","5,000","15","50","70","10","5,145","200","185","390","0","5,535"
"10007156","The University of Salford","16,795","65","275","155","20","17,310","955","2,250","3,205","0","20,520"
"10007780","SOAS University of London","3,055","35","30","10","10","3,140","830","1,755","2,585","345","6,070"
"10005700","SRUC","70","1,415","10","20","0","1,510","55","15","70","0","1,580"
"10005790","Sheffield Hallam University","27,695","145","255","65","50","28,210","415","2,860","3,275","0","31,485"
"10007157","The University of Sheffield","18,745","115","365","115","45","19,395","1,305","7,230","8,530","0","27,925"
"10006022","Solent University","9,200","65","200","70","45","9,575","1,030","680","1,710","0","11,285"
"10007158","The University of Southampton","16,930","65","495","95","60","17,650","1,655","5,570","7,225","0","24,875"
"10006299","Staffordshire University","14,405","165","295","80","40","14,985","360","515","875","0","15,855"
"10007804","The University of Stirling","985","8,160","35","365","10","9,555","930","1,350","2,280","5","11,840"
"10037449","University of St Mark and St John","2,215","5","45","10","10","2,290","30","45","75","0","2,365"
"10008010","Stranmillis University College","5","0","0","1,410","0","1,415","25","0","25","0","1,440"
"10007805","The University of Strathclyde","630","16,700","25","145","0","17,505","1,640","2,325","3,960","5","21,470"
"10014001","University of Suffolk","4,890","0","10","5","0","4,910","80","40","120","0","5,030"
"10007159","The University of Sunderland","9,575","50","25","55","5","9,705","765","2,525","3,290","0","12,995"
"10007160","The University of Surrey","10,430","50","155","45","20","10,700","1,175","3,180","4,350","0","15,050"
"10007806","The University of Sussex","9,885","30","125","35","95","10,170","1,095","3,885","4,985","0","15,155"
"10007855","Swansea University","6,020","15","8,075","40","25","14,180","590","2,670","3,265","0","17,445"
"10007161","Teesside University","16,945","325","105","140","15","17,535","280","765","1,045","0","18,575"
"10008017","Trinity Laban Conservatoire of Music and Dance","640","25","45","10","5","725","175","85","260","0","985"
"10007858","University of Wales Trinity Saint David","1,435","25","7,740","35","5","9,240","180","510","690","0","9,930"
"10007114","University of the Highlands and Islands","145","7,965","15","15","0","8,140","185","95","275","0","8,415"
"10007807","Ulster University","1,495","110","45","21,190","5","22,845","1,595","715","2,310","0","25,155"
"10007784","University College London","21,385","215","345","125","90","22,160","4,185","10,790","14,975","0","37,135"
"10007793","University of South Wales","4,215","85","17,415","75","10","21,805","1,325","2,140","3,460","0","25,265"
"10008574","The University of Wales (central functions)","0","0","5","0","0","5","0","0","0","0","5"
"10007163","The University of Warwick","15,645","130","355","75","25","16,225","2,145","6,295","8,440","0","24,665"
"10007164","University of the West of England, Bristol","21,870","65","2,060","85","45","24,130","780","2,805","3,585","0","27,715"
"10007800","The University of the West of Scotland","340","13,780","10","60","5","14,195","585","770","1,360","0","15,555"
"10006566","The University of West London","8,745","55","80","30","5","8,910","710","785","1,500","0","10,410"
"10007165","The University of Westminster","13,840","25","90","40","10","14,010","2,110","4,075","6,190","0","20,195"
"10003614","The University of Winchester","6,840","15","70","20","100","7,040","95","405","500","0","7,540"
"10007166","The University of Wolverhampton","17,945","75","130","40","10","18,200","380","1,205","1,590","0","19,790"
"10007139","University of Worcester","9,545","20","275","25","10","9,880","400","180","580","0","10,455"
"10007657","Writtle University College","680","0","10","10","5","705","25","75","100","0","805"
"10007713","York St John University","5,425","20","35","30","15","5,525","65","390","455","0","5,980"
"10007167","The University of York","13,215","120","235","95","65","13,735","850","2,560","3,410","10","17,155"
"","Total","1,511,935","165,090","97,580","63,600","4,150","1,842,355","127,340","309,230","436,570","505","2,279,430"
